panel_code,panel_name,procedure_code,procedure_name,speciality,max_stay,package_inclusions,package_exclusions,tier1_code,tier1_rate,tier2_code,tier2_rate,tier3_code,tier3_rate,tier4_code,tier4_rate
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN G 19 A,PPN G 19 A,ENT,,"L1,L3",,GEN,15340,SEMI,99120,PVT,18880,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN G 21,PPN G 21,ENT,,"L1,L2,L3,L4",,GEN,107380,SEMI,127440,PVT,148680,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN OBG 03,PPN OBG 03,ENT,,"L1,L2,L3,L4",,GEN,20700,SEMI,37950,PVT,39100,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN OPH 05,PPN OPH 05,ENT,,"L1,L2,L3,L4",L2,GEN,40250,SEMI,29900,PVT,48300,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 08 A,PPN ORTHO 08 A,ENT,,"L1,L3,L4",,GEN,78200,SEMI,119600,PVT,72450,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 08 B,PPN ORTHO 08 B,ENT,,"L1,L3",,GEN,57500,SEMI,63250,PVT,69000,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 13,PPN ORTHO 13,ENT,,"L1,L3,L4",,GEN,52900,SEMI,52900,PVT,44850,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 15 A,PPN ORTHO 15 A,ENT,,"L1,L3,L4",L2,GEN,56350,SEMI,60950,PVT,66700,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 16 A,PPN ORTHO 16 A,ENT,,"L1,L3,L4",,GEN,50600,SEMI,55200,PVT,60950,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 16 B,PPN ORTHO 16 B,ENT,,"L1,L3,L4",,GEN,50600,SEMI,57500,PVT,81650,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 22,PPN ORTHO 22,ENT,,"L1,L3,L4",,GEN,63250,SEMI,63250,PVT,89700,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 25,PPN ORTHO 25,ENT,,"L1,L2,L3",,GEN,18400,SEMI,24150,PVT,20700,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 27 A,PPN ORTHO 27 A,ENT,,"L1,L2,L3,L4",,GEN,11500,SEMI,13800,PVT,17250,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 27 B,PPN ORTHO 27 B,ENT,,"L1,L2,L3,L4",,GEN,24150,SEMI,28750,PVT,32200,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 27,PPN ORTHO 27,ENT,,"L1,L2,L3,L4",,GEN,60950,SEMI,69000,PVT,78200,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 28 A,PPN ORTHO 28 A,ENT,,"L1,L3,L4",,GEN,40250,SEMI,44850,PVT,49450,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 28,PPN ORTHO 28,ENT,,"L1,L3,L4",,GEN,44850,SEMI,49450,PVT,52900,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 31,PPN ORTHO 31,ENT,,"L1,L3,L4",L2,GEN,115000,SEMI,98900,PVT,8050,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 32 A,PPN ORTHO 32 A,ENT,,"L1,L2,L3,L4",,GEN,36800,SEMI,40250,PVT,48300,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 32 B,PPN ORTHO 32 B,ENT,,"L1,L2,L3,L4",,GEN,44850,SEMI,49450,PVT,57500,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 33 A,knee,ENT,,"L1,L2,L3,L4",,GEN,49450,SEMI,54050,PVT,60950,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 33,PPN ORTHO 33,ENT,,"L1,L2,L3,L4",,GEN,49450,SEMI,54050,PVT,60950,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 34,PPN ORTHO 34,ENT,,"L1,L2,L3,L4",,GEN,49450,SEMI,49450,PVT,66700,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 35 A,PPN ORTHO 35 A,ENT,,"L1,L2,L3",,GEN,96600,SEMI,102350,PVT,108100,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN ORTHO 35 B,PPN ORTHO 35 B,ENT,,"L1,L2,L3",,GEN,96600,SEMI,102350,PVT,108100,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN URO 05,PPN URO 05,ENT,,"L1,L2,L3,L4",,GEN,35400,SEMI,46020,PVT,43660,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN URO 06,PPN URO 06,ENT,,,,GEN,474360,SEMI,7000,PVT,7000,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN NEU 01,PPN NEU 01,ENT,,"L1,L2,L3,L4",,GEN,69000,SEMI,131100,PVT,110400,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN VS 01,PPN VS 01,ENT,,"L1,L2,L3,L4",,GEN,41400,SEMI,44850,PVT,73600,,
GIPSA_PPN,GIPSA PPN Samaritan 2022,PPN VS 01 B,PPN VS 01 B,ENT,,,,GEN,63922,SEMI,4666,PVT,,,
